sample_index,route_distance_km,latitude,longitude,elevation_m,source
231,6.531917,40.6689446,-111.9309264,1305.338,USGS The National Map 3DEP
232,6.560317,40.6690572,-111.9306242,1305.287,USGS The National Map 3DEP
233,6.588716,40.6691699,-111.9303220,1305.209,USGS The National Map 3DEP
234,6.617116,40.6692826,-111.9300198,1305.079,USGS The National Map 3DEP
235,6.645516,40.6693958,-111.9297179,1304.956,USGS The National Map 3DEP
236,6.673915,40.6695090,-111.9294161,1304.826,USGS The National Map 3DEP
237,6.702315,40.6696227,-111.9291146,1304.740,USGS The National Map 3DEP
238,6.730715,40.6697368,-111.9288133,1304.606,USGS The National Map 3DEP
239,6.759114,40.6698509,-111.9285120,1304.527,USGS The National Map 3DEP
240,6.787514,40.6699650,-111.9282108,1304.409,USGS The National Map 3DEP
241,6.815914,40.6700791,-111.9279095,1304.279,USGS The National Map 3DEP
242,6.844313,40.6701932,-111.9276082,1304.180,USGS The National Map 3DEP
243,6.872713,40.6703073,-111.9273070,1304.141,USGS The National Map 3DEP
244,6.901113,40.6704214,-111.9270057,1304.086,USGS The National Map 3DEP
245,6.929512,40.6705355,-111.9267044,1304.048,USGS The National Map 3DEP
246,6.957912,40.6706496,-111.9264032,1303.959,USGS The National Map 3DEP
247,6.986311,40.6707632,-111.9261016,1303.880,USGS The National Map 3DEP
248,7.014711,40.6708769,-111.9258001,1303.847,USGS The National Map 3DEP
249,7.043111,40.6709905,-111.9254985,1303.786,USGS The National Map 3DEP
250,7.071510,40.6711009,-111.9251949,1303.707,USGS The National Map 3DEP
251,7.099910,40.6712157,-111.9248940,1303.657,USGS The National Map 3DEP
252,7.128310,40.6713307,-111.9245934,1303.586,USGS The National Map 3DEP
253,7.156709,40.6714416,-111.9242902,1303.498,USGS The National Map 3DEP
254,7.185109,40.6715435,-111.9239814,1303.429,USGS The National Map 3DEP
255,7.213509,40.6716433,-111.9236715,1303.359,USGS The National Map 3DEP
256,7.241908,40.6717406,-111.9233601,1303.249,USGS The National Map 3DEP
257,7.270308,40.6718342,-111.9230469,1303.122,USGS The National Map 3DEP
258,7.298707,40.6719179,-111.9227288,1302.936,USGS The National Map 3DEP
259,7.327107,40.6720000,-111.9224099,1302.648,USGS The National Map 3DEP
260,7.355507,40.6720818,-111.9220909,1302.372,USGS The National Map 3DEP
261,7.383906,40.6721668,-111.9217733,1302.087,USGS The National Map 3DEP
262,7.412306,40.6722524,-111.9214561,1301.781,USGS The National Map 3DEP
263,7.440706,40.6723371,-111.9211384,1301.466,USGS The National Map 3DEP
264,7.469105,40.6724211,-111.9208204,1301.144,USGS The National Map 3DEP
265,7.497505,40.6725051,-111.9205023,1300.793,USGS The National Map 3DEP
266,7.525905,40.6725890,-111.9201843,1300.492,USGS The National Map 3DEP
267,7.554304,40.6726729,-111.9198662,1300.148,USGS The National Map 3DEP
268,7.582704,40.6727568,-111.9195482,1299.875,USGS The National Map 3DEP
269,7.611104,40.6728407,-111.9192301,1299.675,USGS The National Map 3DEP
270,7.639503,40.6729246,-111.9189121,1299.555,USGS The National Map 3DEP
271,7.667903,40.6730085,-111.9185940,1299.430,USGS The National Map 3DEP
272,7.696302,40.6730925,-111.9182760,1299.273,USGS The National Map 3DEP
273,7.724702,40.6731760,-111.9179577,1299.145,USGS The National Map 3DEP
274,7.753102,40.6732581,-111.9176388,1299.049,USGS The National Map 3DEP
275,7.781501,40.6733401,-111.9173200,1298.912,USGS The National Map 3DEP
276,7.809901,40.6734222,-111.9170011,1298.786,USGS The National Map 3DEP
277,7.838301,40.6735061,-111.9166830,1298.672,USGS The National Map 3DEP
278,7.866700,40.6735926,-111.9163662,1298.554,USGS The National Map 3DEP
279,7.895100,40.6736791,-111.9160493,1298.455,USGS The National Map 3DEP
280,7.923500,40.6737656,-111.9157325,1298.396,USGS The National Map 3DEP
281,7.951899,40.6738521,-111.9154156,1298.305,USGS The National Map 3DEP
282,7.980299,40.6739376,-111.9150983,1298.198,USGS The National Map 3DEP
283,8.008698,40.6740219,-111.9147804,1298.102,USGS The National Map 3DEP
284,8.037098,40.6741046,-111.9144618,1298.054,USGS The National Map 3DEP
285,8.065498,40.6741871,-111.9141431,1297.926,USGS The National Map 3DEP
286,8.093897,40.6741919,-111.9138773,1297.823,USGS The National Map 3DEP
287,8.122297,40.6739443,-111.9138005,1298.046,USGS The National Map 3DEP
288,8.150697,40.6736900,-111.9137700,1298.203,USGS The National Map 3DEP
289,8.179096,40.6734361,-111.9138006,1298.333,USGS The National Map 3DEP
290,8.207496,40.6731842,-111.9138559,1298.371,USGS The National Map 3DEP
291,8.235896,40.6729300,-111.9138800,1298.407,USGS The National Map 3DEP
292,8.264295,40.6726760,-111.9138466,1298.451,USGS The National Map 3DEP
293,8.292695,40.6724219,-111.9138123,1298.574,USGS The National Map 3DEP
294,8.321095,40.6721671,-111.9138090,1298.676,USGS The National Map 3DEP
295,8.349494,40.6719164,-111.9138670,1298.705,USGS The National Map 3DEP
296,8.377894,40.6716738,-111.9139697,1298.613,USGS The National Map 3DEP
297,8.406293,40.6714468,-111.9141229,1298.538,USGS The National Map 3DEP
298,8.434693,40.6712371,-111.9141470,1298.703,USGS The National Map 3DEP
299,8.463093,40.6710438,-111.9139269,1298.957,USGS The National Map 3DEP
300,8.491492,40.6708813,-111.9136679,1299.050,USGS The National Map 3DEP
301,8.519892,40.6707711,-111.9133663,1299.185,USGS The National Map 3DEP
302,8.548292,40.6706974,-111.9130439,1299.262,USGS The National Map 3DEP
303,8.576691,40.6706283,-111.9127198,1299.322,USGS The National Map 3DEP
304,8.605091,40.6705637,-111.9123940,1299.265,USGS The National Map 3DEP
305,8.633491,40.6704992,-111.9120682,1299.164,USGS The National Map 3DEP
306,8.661890,40.6704322,-111.9117433,1299.049,USGS The National Map 3DEP
307,8.690290,40.6703574,-111.9114213,1298.928,USGS The National Map 3DEP
308,8.718689,40.6702632,-111.9111091,1298.790,USGS The National Map 3DEP
309,8.747089,40.6701057,-111.9108445,1298.702,USGS The National Map 3DEP
310,8.775489,40.6699401,-111.9105886,1298.536,USGS The National Map 3DEP
