shape_pt_sequence,latitude,longitude,route_distance_km,elevation_m,source
229,60.203763,24.872163,10.252,27.0,Open-Meteo Elevation API
230,60.203838,24.873068,10.303,27.0,Open-Meteo Elevation API
231,60.203899,24.874083,10.360,22.0,Open-Meteo Elevation API
232,60.203945,24.874550,10.385,22.0,Open-Meteo Elevation API
233,60.204077,24.876284,10.483,21.0,Open-Meteo Elevation API
234,60.204226,24.878236,10.594,19.0,Open-Meteo Elevation API
235,60.204305,24.878508,10.611,15.0,Open-Meteo Elevation API
236,60.204384,24.878745,10.626,15.0,Open-Meteo Elevation API
237,60.204500,24.878910,10.641,15.0,Open-Meteo Elevation API
238,60.204732,24.879097,10.669,15.0,Open-Meteo Elevation API
239,60.205045,24.879285,10.705,11.0,Open-Meteo Elevation API
240,60.205532,24.878902,10.764,11.0,Open-Meteo Elevation API
241,60.205550,24.878812,10.769,11.0,Open-Meteo Elevation API
242,60.205550,24.876196,10.916,18.0,Open-Meteo Elevation API
243,60.205586,24.876125,10.921,18.0,Open-Meteo Elevation API
244,60.205602,24.876024,10.926,18.0,Open-Meteo Elevation API
245,60.205597,24.875927,10.932,18.0,Open-Meteo Elevation API
246,60.205579,24.875873,10.935,18.0,Open-Meteo Elevation API
247,60.205525,24.875835,10.941,18.0,Open-Meteo Elevation API
248,60.205499,24.875816,10.944,18.0,Open-Meteo Elevation API
249,60.205453,24.875851,10.949,18.0,Open-Meteo Elevation API
250,60.205435,24.875887,10.951,18.0,Open-Meteo Elevation API
251,60.205408,24.875958,10.956,18.0,Open-Meteo Elevation API
252,60.205407,24.876048,10.961,18.0,Open-Meteo Elevation API
253,60.205425,24.876121,10.965,18.0,Open-Meteo Elevation API
254,60.205460,24.876194,10.970,18.0,Open-Meteo Elevation API
255,60.205458,24.876518,10.989,18.0,Open-Meteo Elevation API
256,60.205455,24.876898,11.010,14.0,Open-Meteo Elevation API
257,60.205453,24.877241,11.029,14.0,Open-Meteo Elevation API
