,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
3,247.24503311258277,7.203329065300896,64.91666666666855,1678.2833333333333,128,126,133,135,97,91
4,255.42331288343559,4.721465201465202,64.66666666666713,1633.9662162162163,118,123,139,88,92,90
5,242.30409356725147,4.228204041260422,64.98611111110942,1633.0161662817552,132,122,140,87,89,104
6,514.6602564102565,3.3907297830374756,59.493055555551166,1947.0384615384614,187,182,150,162,147,186
7,1471.8837209302326,2.343337819650068,56.388888888883635,2471.0118343195268,268,290,211,240,237,240
8,298.1168831168831,1.821794542182393,60.05555555554982,1870.2076923076922,273,220,220,240,240,240
9,209.02061855670104,1.6704251732534179,66.74999999999858,1568.3376623376623,259,218,223,238,233,234
10,231.01666666666668,1.7357503607503608,63.02777777777852,1613.74,169,200,208,218,219,218
11,266.9655172413793,1.5436720142602496,62.41666666666731,1500.26,157,176,196,191,207,195
0,227.95604395604394,17.321327501929506,62.7500000000007,1689.2784810126582,166,186,160,181,193,128
1,246.26582278481013,14.04430043042995,66.79166666667331,1583.7428571428572,158,160,141,160,170,110
2,229.21518987341773,11.131888836552047,67.08333333333754,1529.5,145,141,130,138,117,101
3,237.4468085106383,8.212987012987012,65.67361111111316,1587.6772151898733,132,145,129,139,121,104
4,250.98026315789474,5.1348890153671025,64.83333333333385,1664.253846153846,131,158,134,112,117,101
5,244.4229979466119,2.9848161788460295,64.82638888888717,1762.1012048192772,126,148,127,115,116,105
6,635.3718518518518,2.0185602350636636,61.03472222221785,1922.341463414634,204,199,143,156,162,157
7,1758.0642201834862,1.2578509647371925,54.94444444443787,2719.023121387283,284,307,216,232,224,240
8,359.27950310559004,0.8203141967711576,59.22222222221631,1760.2028985507247,289,234,222,239,230,240
9,275.55445544554453,0.9879393648803158,66.24305555555418,1699.4125,277,237,213,234,230,236
10,260.7848101265823,1.3588426639274098,62.777777777778475,1640.6060606060605,194,230,198,222,223,231
11,255.37333333333333,1.7222222222222223,61.222222222222705,1659.6818181818182,181,210,177,192,207,212
0,238.77551020408163,15.476957452751142,63.18055555555631,1584.7831325301204,147,155,158,179,184,111
1,262.67045454545456,12.091019910605448,67.52777777778454,1673.5333333333333,143,136,149,164,162,102
2,255.69736842105263,10.29839208410637,67.80555555555982,1604.007299270073,129,128,132,160,91,95
3,248.30921052631578,6.8087598675833965,64.73611111111303,1702.3870967741937,128,124,127,150,90,95
4,244.37426900584796,6.69612174766814,64.7222222222227,1626.8857142857144,115,132,122,112,89,109
5,244.25149700598803,5.125541125541125,65.0138888888872,1637.6261682242991,121,132,114,115,98,113
6,641.7369230769231,4.101590457256462,60.486111111106986,1993.5700934579438,168,196,129,182,150,181
7,1790.019943019943,2.011444141689373,56.55555555555025,2680.644578313253,278,297,213,221,219,240
8,366.56969696969696,1.563061391136515,61.52777777777211,1749.388888888889,279,223,216,233,227,240
9,225.64285714285714,1.243336586830843,67.90972222222103,1686.718309859155,272,220,214,233,229,234
10,255.94444444444446,1.1514459665144596,63.777777777778624,1621.8813559322034,183,205,204,213,227,209
11,244.76923076923077,1.1393361160803017,62.69444444444513,1473.906976744186,172,174,189,191,209,183
