,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
2,199.95890410958904,9.049153318077803,[10.256751],1495.007874015748,175,149,122,143,136,149
3,212.18324607329842,6.035444716442268,[18.024857],1635.0251572327045,137,150,128,136,127,139
4,233.87709497206703,3.8399919289749804,[28.51319],1447.1847133757963,145,144,127,126,138,146
5,228.77038626609442,2.744724453060095,[80.21239],1470.4716049382716,149,143,125,128,137,103
6,265.57372262773725,2.4186602870813396,[9.072793],1561.5788590604027,200,191,173,190,144,147
7,450.5315315315315,1.4337169159953975,[4.394093],1693.3321033210332,271,290,276,296,220,227
8,268.2611464968153,0.7879917184265011,[3.7261598],1439.5,285,320,304,231,235,235
9,221.51020408163265,0.8886015944839475,[19.78998],1385.4943820224719,286,310,274,216,229,232
10,237.36893203883494,0.8390173410404624,[6.816097],1569.75,270,289,190,207,207,221
11,203.04761904761904,0.9602484472049688,[10.915149],1476.4912280701753,247,269,176,189,203,204
0,222.2826086956522,15.10694029850746,[10.020669],1608.9135802469136,212,152,165,178,184,181
1,210.3684210526316,11.71670781893004,[16.348724],1422.0365853658536,177,141,159,168,170,157
2,227.42857142857142,9.482456140350877,[15.715852],1613.2700729927008,114,129,157,149,156,131
3,232.17857142857142,6.565593047034763,[18.643393],1668.280701754386,108,129,143,149,144,142
4,222.57534246575344,5.0715027101833705,[66.68714],1663.939393939394,112,122,129,152,135,104
5,222.0801526717557,3.1247327156094085,[61.41292],1530.8970251716248,119,114,117,150,121,111
6,272.0664739884393,2.560040705563093,[24.958578],1533.4459691252143,182,195,178,233,128,156
7,793.3067484662577,1.6248227754777982,[11.113144],1804.5281385281385,269,291,282,314,213,234
8,242.46835443037975,1.2097714164930398,[12.968357],1390.1023622047244,275,290,302,240,230,240
9,222.63636363636363,1.2068879771229646,[6.3482304],1455.0119047619048,267,291,300,224,217,233
