,stw,sto,sth
12,559.9593908629441,7.419768064228367,[94.19869]
13,566.7528089887641,7.511253408816321,[96.1557]
14,650.5052631578948,7.7482955432576395,[92.3783]
15,681.974358974359,7.934620996917552,[97.300255]
16,515.8846153846154,7.844411070585711,[93.081184]
17,592.6037735849056,8.1681688301778,[79.5147]
18,711.2816091954023,8.292503226578457,[99.11502]
19,779.3421052631579,8.845520581113801,[91.33801]
20,790.1451612903226,9.001421329806027,[94.7113]
21,824.0416666666666,9.639337224565953,[94.70361]
22,815.4814814814815,9.731066867326211,[94.302345]
23,819.5571428571428,10.898337742072433,[85.79921]
24,867.7446808510638,11.497003775403646,[103.10784]
25,0.0,12.188329274859159,[98.568344]
26,807.9805825242719,12.188329274859159,[107.396645]
27,845.3205128205128,12.087473020228554,[78.15993]
28,1000.5983606557377,11.67331255603467,[89.55957]
29,852.8300395256917,12.416177210941434,[97.35621]
30,864.1133333333333,13.960241529470807,[101.11282]
31,782.1535087719299,13.735086787829285,[97.12296]
32,1104.75,15.440474543723607,[120.234245]
33,941.2794117647059,14.710559304861503,[81.48221]
34,904.1296296296297,15.350247931028527,[116.97588]
35,1015.8865979381443,15.711125135232598,[98.73329]
36,894.0714285714286,17.041138983050846,[88.41361]
37,846.6913580246913,17.365356438688206,[92.36232]
38,1391.780487804878,17.95619542212816,[104.28842]
39,966.4173228346457,18.821014499094357,[95.65021]
40,0.0,19.11573323507737,[81.915]
41,895.828,19.04290312377905,[90.92672]
42,1038.748743718593,20.273012481181098,[88.99047]
43,1417.3333333333333,21.696509737738523,[100.04532]
44,0.0,20.83469894184849,[98.93679]
45,0.0,20.83469894184849,[97.08596]
0,487.6282527881041,0.0,0.0
1,489.55172413793105,7.630741604183729,[94.216965]
2,472.23880597014926,7.677597365443054,[90.41585]
3,528.7578125,6.431647493930525,[94.56468]
4,458.1111111111111,6.923643973529912,[102.091194]
5,553.22,6.962208845367879,[96.9763]
6,486.53164556962025,6.952325466751517,[90.5316]
7,564.9719626168225,7.32354919170164,[100.95459]
8,569.765306122449,7.865611770861412,[93.74752]
9,591.5792880258899,8.406131833001204,[102.034164]
10,614.75,9.522266336148112,[95.317955]
11,589.0338983050848,11.772892876171825,[81.763]
12,562.5196506550218,12.384048523326344,[87.268364]
13,591.0340909090909,12.68422616374277,[92.61361]
14,674.9098360655738,12.566650444007138,[99.33778]
15,582.5079365079365,13.144331070600122,[100.27399]
16,706.8793103448276,13.215622697126012,[97.21774]
17,703.8103448275862,13.412192814004618,[94.07964]
18,714.1368421052632,13.789886771221605,[92.95297]
19,820.7608695652174,15.195003743788714,[89.9584]
20,602.2597402597403,15.619043715287031,[81.24904]
21,687.2597402597403,15.062972567964254,[104.99413]
22,658.9017857142857,15.506775615873142,[100.90518]
23,733.7619047619048,15.86006953150943,[92.40386]
24,835.1509433962265,16.530721175069903,[99.58033]
25,0.0,16.644977818223186,[100.16993]
26,695.7105263157895,16.644977818223186,[97.59563]
27,822.015625,16.249485447488013,[82.72966]
28,801.4050632911392,16.010538405317924,[85.64865]
29,790.3211009174312,16.442708615367952,[97.48486]
30,731.5117370892019,17.53512954182275,[75.696655]
31,742.4444444444445,18.420909406092797,[92.83981]
32,741.6,18.55428904127313,[101.635414]
33,787.847619047619,17.990707731468493,[105.07254]
34,754.4517133956386,18.480072193347898,[87.76441]
35,789.8134328358209,19.588044918741723,[88.80087]
36,1015.2857142857143,20.339245186702815,[96.12911]
37,769.1149425287356,20.518905883974092,[77.73894]
38,821.72,20.91386841479569,[94.268555]
39,739.4394904458599,21.085136793279663,[87.28212]
40,0.0,21.726447578742796,[90.799644]
41,755.0862533692722,21.54486498732707,[90.003685]
42,1041.4660194174758,22.783625816551208,[82.08212]
43,1219.7058823529412,26.95702394595573,[93.96322]
44,0.0,26.302797231776555,[99.944046]
45,0.0,26.302797231776555,[104.9124]
