,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
26,71131,25852,29635,29696,30972,32353,32453,33864,34935,35400,36083,36811,37519,38227,38791,40219,40438,41437,42131,42642,42914,43552,43910,45061,46560,47524,47805,49149,50791,51124,51406,51914,53555,54477,55257,57823,58046,58154,58959,59719,60523,61411,62381,63979,64390,64691,66139,66974,69107,69266,69463,71348,72805,73701,75384,75515,76238,78174,78376,79314
27,71091,25951,29808,29922,31194,32463,32598,34101,35234,35669,36265,36991,37851,38477,39048,40406,40733,41647,42397,42864,43167,43665,44105,45218,46741,47865,48046,49424,50981,51306,51517,52035,53789,54750,55601,58071,58275,58488,59195,59985,60692,61706,62524,64316,64574,64943,66274,67114,69357,69430,69716,71539,72987,73962,75531,75787,76521,78473,78722,79465
28,72021,26026,29924,30178,31434,32545,32695,34234,35354,35761,36528,37226,38043,38656,39301,40607,40990,41870,42516,42962,43294,43739,44285,45377,46998,48153,48174,49640,51267,51458,51666,52121,53903,54909,55758,58345,58526,58751,59479,60242,60807,61939,62768,64600,64755,65201,66408,67362,69528,69677,69787,71732,73163,74167,75705,75853,76626,78732,78855,79545
29,72061,26116,30199,30473,31576,32811,32838,34452,35621,35983,36690,37503,38343,38895,39506,40776,41147,42012,42721,43084,43442,43963,44543,45669,47125,48467,48524,49748,51593,51667,51878,52382,54043,55125,55939,58644,58647,59045,59650,60399,60994,62086,62900,64745,65023,65312,66557,67597,69774,69863,70008,71988,73451,74450,75896,76036,76726,79006,79102,79818
30,72071,26155,30402,30587,31750,32958,33055,34531,35816,36086,36747,37722,38466,38968,39574,40875,41294,42143,42941,43178,43663,44049,44670,45780,47249,48577,48734,49941,51724,51883,52052,52446,54272,55174,56173,58776,58826,59278,59716,60480,61206,62202,62970,64963,65233,65502,66702,67697,69891,70006,70152,72062,73545,74588,76119,76185,76770,79119,79335,80036
31,84499,26246,30677,30858,31946,33222,33246,34731,36052,36233,36872,37929,38652,39092,39745,41098,41489,42445,43057,43402,43946,44165,44932,45934,47498,48825,48970,50150,51888,52118,52324,52557,54438,55436,56385,58941,59122,59483,59965,60757,61358,62332,63133,65273,65523,65680,66819,67904,70135,70161,70410,72369,73820,74804,76253,76434,76903,79321,79573,80291
32,84489,26352,30971,31109,32075,33416,33597,34900,36351,36552,37177,38130,38941,39416,39916,41408,41651,42768,43236,43708,44144,44277,45179,46151,47659,49061,49240,50292,52154,52248,52458,52834,54741,55595,56654,59263,59372,59705,60196,61053,61586,62487,63308,65492,65680,65818,66946,68186,70317,70455,70643,72701,74130,75136,76565,76746,77124,79511,79746,80495
33,84461,26422,31227,31235,32170,33665,33786,35146,36460,36818,37346,38332,39053,39692,40111,41559,41908,42940,43335,43831,44243,44373,45413,46307,47916,49231,49412,50429,52363,52429,52591,52956,54942,55799,56819,59420,59602,59887,60480,61250,61817,62628,63396,65702,65884,65941,67170,68304,70428,70710,70826,72834,74261,75375,76833,77015,77322,79713,79872,80750
34,84471,26485,31343,31524,32286,33778,33893,35242,36616,36949,37591,38492,39283,39901,40378,41700,42164,43160,43454,43992,44428,44545,45550,46514,48026,49518,49660,50496,52544,52552,52770,53036,55054,56044,56931,59695,59840,60097,60765,61339,62061,62735,63464,65987,66011,66127,67400,68468,70600,70901,71023,72994,74464,75661,77057,77108,77534,79838,80141,80845
35,84621,26589,31599,31690,32476,33965,34159,35426,36820,37105,37854,38661,39397,40110,40655,41842,42334,43345,43635,44159,44627,44640,45728,46703,48283,49705,49901,50584,52712,52893,53024,53109,55201,56127,57199,59934,60138,60315,61049,61596,62158,62992,63708,66182,66342,66342,67553,68679,70846,71098,71279,73126,74667,75857,77191,77374,77652,80031,80432,81094
