,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
28,72021,27052,28360,29435,30293,30323,31660,32991,33073,34691,34717,35588,35612,35805,36649,38558,38606,39435,40055,40705,41665,41949,42848,43580,44941,46100,46141,47633,48664,49075,49560,50844,52282,53003,54915,55216,55801,56317,56335,58171,59129,60742,60767,61345,63003,63604,65319,65398,66115,67605,69178,70392,71270,71413,72873,73448,74567,75557,76076,77175
29,72061,27180,28500,29612,30455,30481,31797,33138,33234,34864,34908,35719,35756,35914,36764,38714,38797,39542,40149,40835,41778,42071,42989,43705,45092,46264,46265,47757,48814,49218,49664,50971,52435,53131,55085,55327,55922,56458,56487,58269,59243,60890,60952,61443,63134,63729,65478,65508,66218,67730,69334,70543,71416,71516,72971,73551,74665,75667,76173,77273
30,72071,27237,28568,29688,30534,30547,31876,33237,33310,34966,34966,35779,35817,35967,36828,38850,38876,39596,40209,40907,41855,42129,43066,43766,45172,46354,46392,47854,48906,49294,49717,51055,52544,53205,55185,55384,55979,56521,56563,58354,59301,61003,61035,61496,63199,63791,65554,65573,66272,67793,69410,70619,71489,71572,73036,73605,74717,75721,76224,77322
31,84499,27369,28708,29839,30680,30694,32004,33383,33471,35135,35197,35915,35964,36076,36943,39009,39125,39701,40304,41037,41969,42251,43206,43893,45347,46523,46618,47987,49070,49436,49821,51183,52697,53333,55381,55495,56102,56666,56715,58458,59421,61164,61196,61595,63330,63915,65708,65771,66374,67915,69569,70781,71639,71675,73133,73709,74815,75831,76321,77420
32,84489,27535,28904,30017,30857,30861,32152,33597,33660,35373,35392,36080,36139,36203,37105,39285,39320,39830,40414,41205,42138,42395,43388,44041,45508,46776,46790,48146,49252,49603,49942,51333,52883,53483,55589,55625,56245,56845,56894,58582,59554,61352,61371,61709,63483,64062,65933,65963,66496,68057,69767,70974,71834,71840,73245,73830,74933,75959,76432,77535
33,84461,27638,29020,30142,30969,30991,32258,33721,33792,35509,35529,36187,36254,36295,37203,39411,39454,39918,40493,41313,42231,42497,43504,44144,45623,46895,46896,48244,49371,49718,50031,51440,53012,53591,55727,55746,56345,56960,57021,58667,59651,61474,61494,61793,63592,64166,66061,66096,66583,68160,69899,71099,71947,71956,73326,73918,75016,76051,76515,77620
34,84471,27742,29139,30266,31088,31120,32364,33846,33925,35645,35672,36295,36369,36386,37300,39536,39588,40005,40574,41421,42324,42599,43620,44248,45739,47017,47054,48348,49490,49833,50119,51548,53140,53698,55865,55889,56444,57074,57147,58751,59747,61597,61647,61878,63701,64271,66188,66244,66670,68264,70030,71223,72059,72081,73406,74006,75101,76146,76597,77704
35,84621,27873,29260,30406,31215,31249,32472,33989,34057,35788,35807,36421,36485,36487,37398,39690,39721,40092,40654,41543,42441,42701,43749,44352,45906,47159,47166,48446,49631,49948,50207,51677,53294,53806,56008,56027,56549,57202,57274,58864,59848,61750,61769,61963,63844,64376,66352,66372,66757,68408,70168,71365,72188,72196,73494,74094,75187,76242,76680,77789
36,84611,27982,29379,30530,31331,31378,32581,34112,34191,35925,35944,36533,36600,36600,37495,39818,39854,40178,40734,41655,42534,42802,43879,44457,46020,47289,47308,48549,49754,50062,50296,51785,53423,53915,56146,56165,56649,57326,57401,58955,59948,61872,61891,62048,63952,64481,66479,66498,66845,68511,70300,71489,72302,72306,73579,74181,75272,76337,76762,77874
37,84631,28033,29450,30606,31389,31452,32649,34183,34268,36002,36052,36587,36658,36663,37556,39890,39926,40230,40783,41723,42587,42862,43949,44519,46089,47360,47379,48613,49825,50124,50351,51851,53498,53981,56224,56243,56706,57393,57477,59010,60012,61942,61961,62103,64017,64545,66552,66552,66900,68576,70378,71565,72357,72388,73632,74236,75328,76396,76815,77925
38,84601,28093,29521,30682,31447,31526,32716,34254,34344,36110,36129,36648,36719,36725,37621,39969,39998,40281,40831,41790,42645,42921,44019,44582,46158,47431,47450,48677,49897,50187,50407,51917,53572,54046,56302,56321,56762,57460,57552,59064,60076,62013,62013,62158,64082,64609,66629,66648,66955,68646,70457,71641,72418,72470,73685,74290,75383,76454,76867,77976
39,75341,28194,29640,30811,31560,31654,32826,34378,34477,36246,36266,36754,36834,36839,37722,40094,40129,40367,40911,41902,42744,43023,44139,44687,46273,47555,47556,48780,50020,50290,50495,52026,53699,54155,56440,56440,56862,57584,57679,59148,60176,62135,62157,62243,64191,64715,66756,66806,67042,68749,70587,71770,72532,72610,73770,74377,75468,76548,76949,78061
40,75061,28307,29759,30940,31683,31782,32938,34502,34609,36383,36402,36871,36953,36955,37824,40219,40260,40453,40991,42014,42843,43125,44259,44792,46389,47680,47699,48884,50143,50406,50584,52135,53837,54264,56588,56607,56962,57715,57806,59233,60277,62260,62279,62328,64304,64821,66914,66915,67130,68873,70725,71899,72655,72750,73854,74469,75554,76643,77032,78146
41,76289,28483,29951,31151,31893,31992,33112,34705,34826,36607,36666,37049,37154,37158,37980,40426,40471,40593,41120,42193,43002,43292,44452,44959,46573,47883,47960,49046,50345,50587,50724,52306,54046,54437,56816,56816,57126,57931,58010,59363,60432,62461,62526,62535,64478,64989,67123,67236,67266,69034,70937,72110,72863,72977,73986,74611,75685,76792,77160,78280
42,76129,28601,30059,31263,31995,32093,33200,34819,34931,36754,36798,37139,37242,37244,38063,40615,40647,40661,41198,42308,43114,43373,44563,45050,46693,48039,48092,49173,50589,50686,50797,52423,54196,54525,56994,57038,57205,58038,58110,59454,60521,62603,62641,62641,64596,65079,67316,67387,67398,69119,71040,72212,72962,73086,74067,74686,75755,76868,77232,78349
43,76119,28701,30174,31366,32111,32194,33292,34932,35037,36885,36905,37232,37329,37331,38146,40727,40753,40754,41271,42400,43208,43455,44665,45139,46786,48170,48189,49264,50695,50780,50869,52537,54297,54613,57127,57127,57297,58141,58210,59528,60604,62718,62751,62752,64696,65169,67468,67489,67496,69207,71144,72324,73062,73195,74136,74762,75826,76944,77304,78418
44,76051,28761,30246,31441,32185,32266,33360,35003,35114,36963,36983,37301,37387,37390,38211,40805,40824,40825,41326,42467,43267,43521,44736,45207,46855,48241,48260,49328,50775,50836,50926,52604,54386,54684,57209,57228,57355,58216,58284,59582,60669,62803,62822,62822,64760,65238,67542,67561,67569,69273,71220,72399,73134,73273,74189,74821,75881,77002,77360,78471
45,75009,28912,30414,31625,32367,32448,33513,35180,35304,37158,37161,37472,37560,37562,38349,40985,40990,41008,41445,42624,43406,43672,44905,45358,47016,48418,48426,49471,50949,50991,51049,52754,54567,54841,57407,57409,57499,58404,58461,59697,60807,62977,62982,62986,64912,65390,67723,67726,67741,69416,71405,72583,73315,73469,74305,74946,75997,77133,77477,78590
