,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD
0,1,-0.001187811295191447,2.5324896706475153,-1.1464851715458366,-0.8370016170933591,-0.3094835544524778,75.46047008547009,0.26726025,1758.060944749051,1538.8478206097254,1983.9143361048123,1.6430115931073561
0,0,0.003281074162158701,4.212629662619697,-0.9819943801499216,-0.6824252550189653,-0.2995691251309564,66.44337606837607,0.2135618,2135.282504012841,1486.4258564641161,1992.28032008002,1.7742875091426122
0,0,0.014445168069667287,4.659453392028809,-1.1482995325655803,-0.848341175096502,-0.29995835746907856,73.19764957264957,0.21293898,2015.5512537612838,1541.8346534653465,1954.6532178217822,1.9281416479426752
0,5,0.018951739598479535,2.8372718228234186,-1.0324541352221919,-0.7369803738150225,-0.29547376140716974,62.23290598290598,0.21442951,2064.712959224869,1475.3956316703898,1970.3896748572847,1.8030822200073016
0,1,0.012809701056944,5.48119592666626,-0.8182102256651113,-0.5709006201498523,-0.24730960551525882,57.5491452991453,0.12952206,1564.757124068391,1459.0394255874673,1673.0365535248043,1.3310551858800528
0,0,-0.001162349996674392,3.536132468117608,-0.9264735624844631,-0.6514221018618795,-0.27505146062258345,59.35470085470085,0.21114463,2077.9140609636183,1416.637196631996,1797.338286280337,1.742526433797966
0,2,0.0019204412690467304,3.819753991232978,-0.8805151050263432,-0.6005424742859428,-0.2799726307404004,57.337606837606835,0.14426026,1965.5037390943082,1400.4697850821744,1886.9324905183312,1.936602122516315
0,0,-0.008402061545186572,4.069698413213094,-0.8027729251005726,-0.5378880628408298,-0.2648848622597429,59.83867521367522,0.19669996,1916.3944687045123,1446.1034922253377,1793.6426204435381,1.4988922493564791
0,0,0.007135657076206472,4.630168702867296,-0.7269065660976888,-0.48106372341464027,-0.24584284268304862,51.96688034188034,0.15515074,2006.6065573770493,1328.4269049391908,1625.005708612559,2.0067934208354705
0,0,0.009923808897535006,2.6129669878217907,-0.8588243845358478,-0.5809345056851217,-0.277889878850726,59.46153846153846,0.19660908,2208.6344895936572,1406.536036036036,1852.0162662662663,1.8045752390617538
0,0,0.009667382058170106,4.822311560312907,-0.6417207195232639,-0.40617302839979413,-0.23554769112346974,51.77777777777778,0.17949979,2057.091418283657,1413.5954452405322,1598.9731320368476,1.8806793330826583
0,2,-0.0016764934278196758,3.1306360032823353,-0.7086476441037519,-0.4628134399126687,-0.2458342041910832,53.94551282051282,0.19245149,2032.3957757599685,1354.7311935807422,1615.9220160481445,1.7287722064068674
0,0,-0.001042448812060886,2.5432684421539307,-0.705454630149433,-0.43424271468035025,-0.2712119154690827,55.0940170940171,0.20883887,2303.0761996161227,1382.8892444006892,1804.560423332513,1.4936659717192249
0,0,0.0025921683344576093,1.1887391408284504,-0.8012658345368939,-0.5387251827668315,-0.26254065177006247,59.44871794871795,0.2099777,1957.703314470493,1423.0176812326345,1724.4468300075778,1.7124176454769757
0,0,-0.004272851679060195,1.5305228100882635,-0.6935062811407162,-0.44832863728773853,-0.2451776438529778,52.925213675213676,0.18742578,1983.5253837072019,1375.738560474895,1617.5293099183775,1.6037311605017253
0,0,0.014454193206297027,1.3892490333980985,-0.6298214953691141,-0.40490329849787243,-0.22491819687124168,46.284188034188034,0.16685458,1816.4739530132788,1363.9711055276382,1548.0502512562814,1.484443206869864
