,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
8,345.5675057208238,2.328711143308746,0.0,1556.5474452554745,825,871,862,623,796,768
9,284.8179012345679,2.410869007773699,0.0,1566.7968253968254,828,854,842,584,781,742
10,278.57603686635946,2.55404500691085,0.0,1497.735294117647,794,800,787,531,735,694
11,279.5405405405405,2.6738614448894826,0.0,1610.4541062801932,727,725,715,400,666,619
0,333.7654320987654,8.478514189733001,0.0,1646.0786026200874,696,677,513,348,659,469
1,346.0524193548387,7.9465875962424946,0.0,1620.986956521739,656,535,442,316,630,416
2,318.56182795698925,7.74054696100585,0.0,1637.4668508287293,566,438,392,266,600,353
3,359.30697674418604,8.157917464608914,0.0,1640.6077481840193,571,386,355,233,578,298
4,373.0769230769231,11.026622817320492,0.0,1643.6909090909091,619,336,320,193,612,242
5,406.6884531590414,14.628123338649655,0.0,1727.6047400611621,681,300,278,160,611,193
6,539.9409836065573,14.13882063882064,0.0,1804.5759193357057,790,675,320,175,791,357
7,570.8130952380952,5.375257694541231,0.0,1816.6519065190653,840,860,807,377,788,633
8,372.70783847981,2.491756942943592,0.0,1630.1135802469137,848,877,862,563,794,683
9,325.0,2.7880173378076063,0.0,1580.6633333333334,825,859,811,531,798,646
10,374.9875518672199,2.824029452136548,0.0,1656.9030837004404,810,800,720,500,763,596
11,319.289592760181,3.1730659983291556,0.0,1597.6439024390245,758,744,629,412,717,540
0,262.0381355932203,7.687442059785554,0.0,1591.1353711790393,632,667,555,319,601,589
1,266.0632911392405,6.555266122219092,0.0,1507.339207048458,596,553,471,277,543,528
2,273.29145728643215,5.814671420716396,0.0,1611.5384615384614,541,492,406,235,518,441
3,271.10887096774195,6.073047524895713,0.0,1593.7130801687763,524,467,351,204,500,430
4,292.5389755011136,7.099203903441193,0.0,1564.7962529274005,475,455,305,168,547,410
5,330.51541218637993,8.62837221775275,0.0,1644.6536994660564,489,426,244,143,587,371
6,595.8042998897464,12.766416629896554,0.0,1879.4697149643705,747,611,287,144,775,574
7,547.0286041189931,5.673828212603723,0.0,1731.2798053527981,840,852,803,344,834,786
8,299.4920634920635,2.6084103697749197,0.0,1526.3696682464456,843,862,858,545,769,788
9,257.1734317343173,2.983297174009791,0.0,1413.2765151515152,801,848,824,498,762,761
10,276.47302904564316,3.116238070790046,0.0,1550.048888888889,752,811,739,438,699,700
11,257.82758620689657,3.0605454238432968,0.0,1559.8744394618834,703,742,673,347,657,638
0,382.72614107883817,7.595679705987336,0.0,1697.4805194805194,726,631,559,554,540,377
1,367.22457627118644,7.006167836315114,0.0,1643.3169642857142,705,553,478,479,467,338
2,341.5175202156334,6.802774777286085,0.0,1673.3397260273973,607,499,397,410,397,299
3,397.2700421940928,6.828714655852202,0.0,1744.451403887689,625,461,345,355,377,258
4,440.0589519650655,9.627215181595846,0.0,1680.085393258427,697,470,272,316,348,214
5,529.5331412103747,12.109863656592628,0.0,1865.7772692601068,692,544,217,288,329,177
6,745.6853565596081,13.327547679423281,0.0,2027.156976744186,815,832,531,334,418,189
7,779.405750798722,6.401938641069077,0.0,2009.5264976958526,827,872,856,850,809,294
8,434.72294372294374,1.7527722944269852,0.0,1627.1146788990825,836,880,864,867,868,556
9,328.68148148148146,2.057150900900901,0.0,1568.251968503937,831,876,850,831,756,518
10,388.6179775280899,2.224912563895615,0.0,1645.0546875,802,821,776,670,706,473
11,369.65686274509807,2.484103877955049,0.0,1708.5891891891893,771,774,646,630,629,428
0,344.08641975308643,7.432857991681521,0.0,1590.948051948052,656,635,557,471,390,657
1,332.3152173913044,6.69606422009177,0.0,1593.8923076923077,593,515,488,421,345,624
2,347.47969543147207,6.421640403412465,0.0,1555.0054794520547,530,450,408,356,315,630
3,366.40546218487395,7.749439061074537,0.0,1662.8818380743983,464,420,354,308,255,657
4,346.76985743380857,9.77756503535779,0.0,1615.1327623126338,509,385,290,266,222,702
5,537.9894736842106,11.634752437458797,0.0,1849.8247646632874,535,367,232,236,198,649
6,710.6103233125355,13.707914272325944,0.0,1978.5084337349397,808,739,335,266,255,716
7,727.8109010011124,4.940569736039724,0.0,1964.3688622754491,840,858,809,693,424,791
8,400.56912442396316,1.825587078606225,0.0,1653.5136476426799,848,868,851,779,616,791
9,317.0511182108626,1.9094549203498619,0.0,1582.2721088435374,845,843,818,745,599,776
10,289.3534482758621,2.061838450292398,0.0,1466.0,810,780,757,687,493,748
11,328.86934673366835,2.2220979553964937,0.0,1588.358695652174,739,708,691,544,438,712
0,243.90557939914163,7.421296125857478,0.0,1525.1834862385322,699,696,503,625,423,597
1,289.4009433962264,6.278031411569602,0.0,1522.004975124378,633,553,399,568,375,532
2,261.7724867724868,5.664077262229686,0.0,1534.6307277628032,515,466,327,509,302,479
3,277.84615384615387,5.50280583613917,0.0,1551.0893719806763,526,423,285,492,252,452
4,285.53039832285117,6.5927134744998135,0.0,1584.024336283186,545,382,236,484,204,433
5,299.71022727272725,7.855761698618844,0.0,1625.6098654708521,565,364,194,501,170,411
6,423.63714439076756,12.11679515151515,0.0,1676.615166949632,772,599,213,737,197,607
7,547.6992054483542,4.2153846153846155,0.0,1789.3675417661098,826,857,653,860,489,760
8,274.84188034188037,1.8242716411653743,0.0,1513.2988505747126,843,877,754,864,659,774
9,289.60200668896323,1.8100354984169624,0.0,1524.46875,830,851,694,765,571,756
10,257.24436090225566,2.0898954519521045,0.0,1473.3254901960784,787,801,637,749,522,705
11,279.2995594713656,2.264468864468865,0.0,1563.1612903225807,755,738,571,697,479,660
0,285.0996015936255,8.285622944830106,0.0,1547.202479338843,661,632,565,540,340,643
1,240.4585152838428,7.251319820427351,0.0,1478.972972972973,597,560,514,473,301,608
2,283.35353535353534,6.697420949961438,0.0,1570.8617021276596,532,433,445,402,253,567
3,282.721271393643,6.570799355683076,0.0,1631.6221662468513,483,394,388,359,218,566
4,292.58196721311475,6.54011912870441,0.0,1615.1132478632478,487,373,346,321,186,556
5,382.30651872399443,9.033715167763425,0.0,1703.0785609397944,522,335,320,276,165,620
6,668.1733848702374,11.45807255953123,0.0,1928.792200232829,786,616,394,373,197,719
7,835.0193401592719,5.607847603271559,0.0,1973.8913580246913,831,855,857,787,354,774
8,308.1685912240185,2.8340306923397303,0.0,1594.2342995169083,832,863,869,854,591,793
9,295.48275862068965,3.009209289837562,0.0,1549.4435483870968,811,827,821,792,560,773
10,294.66814159292034,3.1108127234803336,0.0,1590.5141509433963,756,781,767,739,437,715
11,263.48880597014926,3.1404554718353332,0.0,1499.4527559055118,706,700,679,607,384,678
0,406.3539094650206,9.273069747416763,0.0,1682.8211009174313,772,599,570,559,535,293
1,390.68981481481484,8.92365263371975,0.0,1624.933962264151,677,546,501,505,484,267
2,416.7202216066482,9.046969696969697,0.0,1700.3426966292134,655,464,427,448,422,224
3,437.72727272727275,9.45620382933816,0.0,1739.1077283372365,646,429,372,415,362,188
4,446.3080357142857,11.363949659374208,0.0,1727.0979498861047,701,419,304,373,319,157
5,507.84517945109076,13.389519912027952,0.0,1804.6331096196868,717,461,244,351,281,123
6,707.7097701149426,13.11603190816674,0.0,1994.0957381099445,820,774,532,484,354,151
7,804.4663726571114,7.509371712061987,0.0,2027.75768321513,839,867,836,838,724,245
