,time,loc,op,stop
689,1052,4.037222222222171,0.1625,7
690,1053,4.037222222222171,0.1625,7
691,1054,4.037222222222171,0.1625,7
692,1055,4.037222222222171,0.1625,7
693,1056,4.037222222222171,0.1625,7
694,1057,4.037222222222171,0.1625,7
695,1058,4.037222222222171,0.1625,7
696,1059,4.037222222222171,0.1625,7
697,1060,4.037222222222171,0.1625,7
698,1061,4.037222222222171,0.1625,7
699,1062,4.037222222222171,0.1625,7
700,1063,4.037222222222171,0.1625,7
701,1064,4.037222222222171,0.1625,7
702,1065,4.037222222222171,0.1625,7
703,1066,4.037222222222171,0.1625,7
704,1067,4.037222222222171,0.1625,7
705,1068,4.037222222222171,0.1625,7
706,1069,4.037222222222171,0.1625,7
707,1070,4.037222222222171,0.1625,7
708,1071,4.037222222222171,0.1625,7
709,1072,4.037222222222171,0.1625,7
710,1073,4.037222222222171,0.1625,7
711,1074,4.037222222222171,0.1625,7
712,1075,4.037222222222171,0.1625,7
713,1076,4.037222222222171,0.1625,7
714,1077,4.037222222222171,0.1625,7
715,1078,4.037222222222171,0.1625,7
716,1079,4.037222222222171,0.1625,7
717,1080,4.037222222222171,0.1625,7
718,1081,4.037222222222171,0.1625,7
719,1082,4.037222222222171,0.1625,7
720,1083,4.037222222222171,0.1625,7
721,1084,4.037222222222171,0.1625,7
722,1085,4.037222222222171,0.1625,7
723,1086,4.037222222222171,0.1625,7
724,1087,4.044444444444394,0.1625,-1
725,1088,4.051666666666616,0.1625,-1
726,1089,4.058888888888839,0.1625,-1
727,1090,4.066111111111061,0.1625,-1
728,1091,4.0733333333332835,0.1625,-1
729,1092,4.080555555555506,0.1625,-1
730,1093,4.087777777777728,0.1625,-1
731,1094,4.094999999999951,0.1625,-1
732,1095,4.102222222222173,0.1625,-1
733,1096,4.109444444444396,0.1625,-1
734,1097,4.116666666666618,0.1625,-1
735,1098,4.123888888888841,0.1625,-1
736,1099,4.131111111111063,0.1625,-1
737,1100,4.138333333333286,0.1625,-1
738,1101,4.145555555555508,0.1625,-1
739,1102,4.152777777777731,0.1625,-1
740,1103,4.159999999999953,0.1625,-1
741,1104,4.1672222222221755,0.1625,-1
742,1105,4.174444444444398,0.1625,-1
743,1106,4.1816666666666205,0.1625,-1
744,1107,4.188888888888843,0.1625,-1
745,1108,4.196111111111065,0.1625,-1
746,1109,4.203333333333288,0.1625,-1
747,1110,4.21055555555551,0.1625,-1
748,1111,4.217777777777733,0.1625,-1
749,1112,4.224999999999955,0.1625,-1
750,1113,4.232222222222178,0.1625,-1
751,1114,4.2394444444444,0.1625,-1
752,1115,4.246666666666623,0.1625,-1
753,1116,4.253888888888845,0.1625,-1
754,1117,4.2611111111110676,0.1625,-1
755,1118,4.26833333333329,0.1625,-1
756,1119,4.2755555555555125,0.1625,-1
757,1120,4.282777777777735,0.1625,-1
758,1121,4.289999999999957,0.1625,-1
759,1122,4.29722222222218,0.1625,-1
760,1123,4.304444444444402,0.1625,-1
761,1124,4.311666666666625,0.1625,-1
762,1125,4.318888888888847,0.1625,-1
763,1126,4.32611111111107,0.1625,-1
764,1127,4.32611111111107,0.275,8
765,1128,4.32611111111107,0.275,8
766,1129,4.32611111111107,0.275,8
767,1130,4.32611111111107,0.275,8
768,1131,4.32611111111107,0.275,8
769,1132,4.32611111111107,0.275,8
770,1133,4.32611111111107,0.275,8
771,1134,4.32611111111107,0.275,8
772,1135,4.32611111111107,0.275,8
773,1136,4.32611111111107,0.275,8
774,1137,4.32611111111107,0.275,8
775,1138,4.32611111111107,0.275,8
776,1139,4.32611111111107,0.275,8
777,1140,4.32611111111107,0.275,8
778,1141,4.32611111111107,0.275,8
779,1142,4.32611111111107,0.275,8
780,1143,4.32611111111107,0.275,8
781,1144,4.32611111111107,0.275,8
782,1145,4.32611111111107,0.275,8
783,1146,4.32611111111107,0.275,8
784,1147,4.32611111111107,0.275,8
785,1148,4.32611111111107,0.275,8
786,1149,4.32611111111107,0.275,8
787,1150,4.32611111111107,0.275,8
788,1151,4.32611111111107,0.275,8
789,1152,4.32611111111107,0.275,8
790,1153,4.32611111111107,0.275,8
791,1154,4.32611111111107,0.275,8
792,1155,4.32611111111107,0.275,8
793,1156,4.32611111111107,0.275,8
794,1157,4.32611111111107,0.275,8
795,1158,4.32611111111107,0.275,8
796,1159,4.32611111111107,0.275,8
797,1160,4.32611111111107,0.275,8
798,1161,4.32611111111107,0.275,8
799,1162,4.333333333333292,0.275,-1
800,1163,4.340555555555515,0.275,-1
801,1164,4.347777777777737,0.275,-1
802,1165,4.35499999999996,0.275,-1
803,1166,4.362222222222182,0.275,-1
804,1167,4.3694444444444045,0.275,-1
805,1168,4.376666666666627,0.275,-1
806,1169,4.383888888888849,0.275,-1
807,1170,4.391111111111072,0.275,-1
808,1171,4.398333333333294,0.275,-1
809,1172,4.405555555555517,0.275,-1
810,1173,4.412777777777739,0.275,-1
811,1174,4.419999999999962,0.275,-1
812,1175,4.427222222222184,0.275,-1
813,1176,4.434444444444407,0.275,-1
814,1177,4.441666666666629,0.275,-1
815,1178,4.448888888888852,0.275,-1
816,1179,4.456111111111074,0.275,-1
817,1180,4.4633333333332965,0.275,-1
818,1181,4.470555555555519,0.275,-1
819,1182,4.477777777777741,0.275,-1
820,1183,4.484999999999964,0.275,-1
821,1184,4.492222222222186,0.275,-1
822,1185,4.499444444444409,0.275,-1
823,1186,4.506666666666631,0.275,-1
824,1187,4.513888888888854,0.275,-1
825,1188,4.521111111111076,0.275,-1
826,1189,4.528333333333299,0.275,-1
827,1190,4.535555555555521,0.275,-1
828,1191,4.542777777777744,0.275,-1
829,1192,4.549999999999966,0.275,-1
830,1193,4.5572222222221885,0.275,-1
831,1194,4.564444444444411,0.275,-1
832,1195,4.5716666666666335,0.275,-1
833,1196,4.578888888888856,0.275,-1
834,1197,4.586111111111078,0.275,-1
835,1198,4.593333333333301,0.275,-1
836,1199,4.600555555555523,0.275,-1
